date,gdp_diff,cpi,interest,ppi,une,cps,gdp_gap,lm_positive,lm_negative,vader_positive,vader_negative,words_count,recession,cpi_diff,interest_diff,cps_diff,une_diff,subprime,covid
2005-01-01,0.17213786759100458,1.9,3.6336,4.60903278869195,9.3,11.3,-0.5077877284707313,0.0342261904761904,0.0654761904761904,0.079,0.101,4032,0,-0.5,-0.05569999999999986,2.9000000000000004,0.0,0,0
2005-02-01,0.18452380190478834,2.1,3.6153,4.57872028680743,9.2,13.1,-0.5392007486813384,0.0290620871862615,0.0535006605019815,0.093,0.069,1514,0,0.20000000000000018,-0.018299999999999983,1.799999999999999,-0.10000000000000142,0,0
2005-03-01,0.1952097392120038,2.2,3.7625,4.73334414525666,9.2,12.9,-0.5626035038055477,0.0247584541062801,0.0634057971014492,0.095,0.101,1656,0,0.10000000000000009,0.14720000000000022,-0.1999999999999993,0.0,0,0
2005-04-01,0.20627196052460306,2.1,3.5709,4.38515985373823,9.3,13.7,-0.5773720454052693,0.0269452013321223,0.0551014229488343,0.105,0.067,3303,0,-0.10000000000000009,-0.19160000000000021,0.7999999999999989,0.10000000000000142,0,0
2005-05-01,0.21832121028720053,2.0,3.4074,3.26430729998218,9.3,15.9,-0.582232610910026,0.0209178894786138,0.045582266625039,0.1,0.042,3203,0,-0.10000000000000009,-0.16349999999999998,2.200000000000001,0.0,0,0
2005-06-01,0.2311306418130954,2.0,3.2541,3.48522769565234,9.3,15.9,-0.5760981891551751,0.019534184823441,0.051465063861758,0.094,0.043,2662,0,0.0,-0.15329999999999977,0.0,0.0,0,0
2005-07-01,0.242865936659598,2.1,3.316,3.74610721869752,9.2,19.9,-0.5596756545985642,0.0206063007727362,0.0641965524073707,0.081,0.085,5047,0,0.10000000000000009,0.06189999999999962,3.9999999999999982,-0.10000000000000142,0,0
2005-08-01,0.2530260676335985,2.2,3.3155,3.73844110391004,9.1,17.0,-0.5341329020724856,0.0170745589072282,0.047808764940239,0.11,0.043,1757,0,0.10000000000000009,-0.0004999999999997229,-2.8999999999999986,-0.09999999999999964,0,0
2005-09-01,0.2616928711773028,2.6,3.1555,4.34371520828339,9.1,19.2,-0.5005171236021226,0.030213706705969,0.0670596904937361,0.099,0.066,2714,0,0.3999999999999999,-0.16000000000000014,2.1999999999999993,0.0,0,0
2005-10-01,0.2688679870476989,2.5,3.3234,4.11615951229587,9.1,20.7,-0.4598367788929494,0.0295461468169357,0.0386841303685653,0.108,0.023,3283,0,-0.10000000000000009,0.16789999999999994,1.5,0.0,0,0
2005-11-01,0.2751531951488033,2.3,3.5273,3.18583437286485,9.0,20.6,-0.4124637896129144,0.0366373189434819,0.0675944333996023,0.115,0.069,3521,0,-0.20000000000000018,0.20389999999999997,-0.09999999999999787,-0.09999999999999964,0,0
2005-12-01,0.28129133398020656,2.3,3.409,3.67322106652012,9.0,18.4,-0.3579953058206371,0.0472488038277511,0.0795454545454545,0.114,0.089,1672,0,0.0,-0.11830000000000007,-2.200000000000003,0.0,0,0
2006-01-01,0.2877668087368903,2.5,3.3927,4.02803500519369,8.9,17.9,-0.2955154290610693,0.0311341734618235,0.0511489992587101,0.119,0.025,2698,0,0.20000000000000018,-0.01629999999999976,-0.5,-0.09999999999999964,0,0
2006-02-01,0.2942240434815062,2.4,3.551,3.67656722239286,8.9,20.0,-0.22443897603142204,0.0316901408450704,0.0528169014084507,0.092,0.074,2556,0,-0.10000000000000009,0.1583000000000001,2.1000000000000014,0.0,0,0
2006-03-01,0.2968273778083983,2.2,3.7312,3.38056031244359,8.8,19.6,-0.1479959019297894,0.0246443598477259,0.0575035063113604,0.115,0.058,4991,0,-0.19999999999999973,0.1801999999999997,-0.3999999999999986,-0.09999999999999964,0,0
2006-04-01,0.2912696899878995,2.5,4.0116,3.93837249378477,8.7,18.7,-0.07370769764385443,0.0374064837905236,0.0629675810473815,0.144,0.102,1604,0,0.2999999999999998,0.28039999999999976,-0.9000000000000021,-0.10000000000000142,0,0
2006-05-01,0.27723689863620393,2.5,4.0603,4.83309951854325,8.6,24.4,-0.009399657951945528,0.0370553359683794,0.0825098814229249,0.093,0.066,2024,0,0.0,0.04870000000000019,5.699999999999999,-0.09999999999999964,0,0
